{'style': {'M2MM': 50000.0, 'MM2M': 10000.0}, 'dis': {'M': 0.5, 'MM': 0.5}, 'gen': {'M': 0.5, 'MM': 1.0}, 'recon': 5, 'consis': 1, 'content': 1}
[36/100] D: 0.73|G: 1.76|Recon: 6.39|Consis: 0.74|Content: 3.53|Style: 11.76|T: 8.21|| M2MM: 0.00|MM2M: 0.00| experiment_name
[37/100] D: 0.62|G: 1.83|Recon: 6.41|Consis: 0.75|Content: 3.73|Style: 10.79|T: 8.12|| M2MM: 0.00|MM2M: 0.00| experiment_name
[38/100] D: 0.62|G: 2.03|Recon: 6.35|Consis: 0.74|Content: 3.37|Style: 10.33|T: 8.18|| M2MM: 0.00|MM2M: 0.00| experiment_name
[39/100] D: 0.50|G: 2.46|Recon: 6.18|Consis: 0.76|Content: 3.34|Style: 10.48|T: 7.84|| M2MM: 0.00|MM2M: 0.00| experiment_name
[40/100] D: 0.44|G: 2.76|Recon: 6.09|Consis: 0.73|Content: 3.09|Style: 10.03|T: 7.86|| M2MM: 0.00|MM2M: 0.00| experiment_name
[41/100] D: 0.45|G: 3.13|Recon: 6.17|Consis: 0.70|Content: 3.26|Style: 10.72|T: 7.81|| M2MM: 0.00|MM2M: 0.00| experiment_name
[42/100] D: 0.35|G: 3.87|Recon: 6.04|Consis: 0.69|Content: 3.00|Style: 9.88|T: 7.87|| M2MM: 0.00|MM2M: 0.00| experiment_name
[43/100] D: 0.29|G: 3.80|Recon: 5.80|Consis: 0.69|Content: 3.13|Style: 10.60|T: 7.62|| M2MM: 0.00|MM2M: 0.00| experiment_name
[44/100] D: 0.28|G: 5.28|Recon: 5.66|Consis: 0.69|Content: 3.07|Style: 11.42|T: 7.67|| M2MM: 0.00|MM2M: 0.00| experiment_name
[45/100] D: 0.28|G: 2.76|Recon: 5.46|Consis: 0.69|Content: 3.26|Style: 10.55|T: 7.39|| M2MM: 0.00|MM2M: 0.00| experiment_name
[46/100] D: 0.55|G: 6.77|Recon: 5.25|Consis: 0.70|Content: 3.21|Style: 10.46|T: 7.32|| M2MM: 0.00|MM2M: 0.00| experiment_name
[47/100] D: 1.10|G: 1.73|Recon: 5.29|Consis: 0.70|Content: 4.19|Style: 11.14|T: 7.29|| M2MM: 0.00|MM2M: 0.00| experiment_name
[48/100] D: 1.71|G: 2.05|Recon: 5.43|Consis: 0.70|Content: 3.82|Style: 10.55|T: 7.18|| M2MM: 0.00|MM2M: 0.00| experiment_name
[49/100] D: 0.91|G: 2.37|Recon: 5.10|Consis: 0.68|Content: 3.51|Style: 10.22|T: 7.05|| M2MM: 0.00|MM2M: 0.00| experiment_name
[50/100] D: 0.73|G: 2.73|Recon: 4.82|Consis: 0.66|Content: 3.03|Style: 10.48|T: 6.92|| M2MM: 0.00|MM2M: 0.00| experiment_name
[51/100] D: 0.48|G: 2.64|Recon: 4.79|Consis: 0.66|Content: 3.13|Style: 9.66|T: 7.03|| M2MM: 0.00|MM2M: 0.00| experiment_name
[52/100] D: 0.51|G: 2.93|Recon: 4.38|Consis: 0.64|Content: 2.89|Style: 9.10|T: 6.58|| M2MM: 0.00|MM2M: 0.00| experiment_name
[53/100] D: 0.47|G: 3.13|Recon: 4.29|Consis: 0.64|Content: 2.92|Style: 9.87|T: 7.27|| M2MM: 0.00|MM2M: 0.00| experiment_name
[54/100] D: 0.53|G: 3.24|Recon: 4.14|Consis: 0.63|Content: 3.05|Style: 9.28|T: 6.55|| M2MM: 0.00|MM2M: 0.00| experiment_name
[55/100] D: 0.54|G: 3.70|Recon: 3.88|Consis: 0.62|Content: 2.90|Style: 9.77|T: 6.41|| M2MM: 0.00|MM2M: 0.00| experiment_name
[56/100] D: 0.61|G: 3.48|Recon: 3.65|Consis: 0.61|Content: 2.97|Style: 9.98|T: 6.17|| M2MM: 0.00|MM2M: 0.00| experiment_name
[57/100] D: 0.52|G: 3.40|Recon: 3.43|Consis: 0.60|Content: 2.86|Style: 9.32|T: 6.17|| M2MM: 0.00|MM2M: 0.00| experiment_name
[58/100] D: 0.54|G: 4.79|Recon: 3.22|Consis: 0.61|Content: 3.34|Style: 10.90|T: 6.06|| M2MM: 0.00|MM2M: 0.00| experiment_name
[59/100] D: 0.69|G: 1.82|Recon: 3.07|Consis: 0.59|Content: 3.66|Style: 9.54|T: 5.93|| M2MM: 0.00|MM2M: 0.00| experiment_name
[60/100] D: 1.38|G: 4.11|Recon: 2.91|Consis: 0.60|Content: 3.19|Style: 9.54|T: 5.47|| M2MM: 0.00|MM2M: 0.00| experiment_name
[61/100] D: 0.73|G: 2.57|Recon: 2.78|Consis: 0.62|Content: 3.09|Style: 9.80|T: 5.80|| M2MM: 0.00|MM2M: 0.00| experiment_name
[62/100] D: 0.70|G: 3.47|Recon: 2.75|Consis: 0.59|Content: 2.93|Style: 9.37|T: 6.02|| M2MM: 0.00|MM2M: 0.00| experiment_name
[63/100] D: 0.67|G: 2.53|Recon: 2.50|Consis: 0.60|Content: 2.93|Style: 9.79|T: 5.95|| M2MM: 0.00|MM2M: 0.00| experiment_name
[64/100] D: 0.75|G: 3.91|Recon: 2.41|Consis: 0.58|Content: 2.94|Style: 9.34|T: 5.79|| M2MM: 0.00|MM2M: 0.00| experiment_name
[65/100] D: 0.91|G: 1.82|Recon: 2.27|Consis: 0.58|Content: 2.81|Style: 9.11|T: 5.28|| M2MM: 0.00|MM2M: 0.00| experiment_name
[66/100] D: 1.18|G: 2.73|Recon: 2.13|Consis: 0.52|Content: 2.69|Style: 9.43|T: 5.78|| M2MM: 0.00|MM2M: 0.00| experiment_name
[67/100] D: 0.97|G: 2.88|Recon: 2.02|Consis: 0.59|Content: 3.83|Style: 10.20|T: 5.44|| M2MM: 0.00|MM2M: 0.00| experiment_name
[68/100] D: 1.94|G: 2.51|Recon: 2.05|Consis: 0.56|Content: 2.69|Style: 9.04|T: 5.07|| M2MM: 0.00|MM2M: 0.00| experiment_name
[69/100] D: 1.25|G: 1.97|Recon: 1.95|Consis: 0.53|Content: 2.32|Style: 8.83|T: 5.10|| M2MM: 0.00|MM2M: 0.00| experiment_name
[70/100] D: 1.32|G: 2.07|Recon: 1.92|Consis: 0.54|Content: 2.51|Style: 9.33|T: 4.99|| M2MM: 0.00|MM2M: 0.00| experiment_name
[71/100] D: 1.17|G: 2.44|Recon: 1.86|Consis: 0.55|Content: 2.62|Style: 8.19|T: 5.39|| M2MM: 0.00|MM2M: 0.00| experiment_name
[72/100] D: 1.10|G: 2.09|Recon: 1.79|Consis: 0.54|Content: 2.49|Style: 8.68|T: 5.00|| M2MM: 0.00|MM2M: 0.00| experiment_name
[73/100] D: 1.00|G: 1.69|Recon: 1.78|Consis: 0.53|Content: 2.57|Style: 8.45|T: 5.17|| M2MM: 0.00|MM2M: 0.00| experiment_name
[74/100] D: 0.97|G: 2.01|Recon: 1.53|Consis: 0.52|Content: 2.48|Style: 8.68|T: 4.72|| M2MM: 0.00|MM2M: 0.00| experiment_name
[75/100] D: 0.90|G: 2.21|Recon: 1.69|Consis: 0.60|Content: 3.24|Style: 9.58|T: 5.09|| M2MM: 0.00|MM2M: 0.00| experiment_name
[76/100] D: 0.99|G: 1.69|Recon: 1.63|Consis: 0.55|Content: 2.63|Style: 8.86|T: 4.65|| M2MM: 0.00|MM2M: 0.00| experiment_name
[77/100] D: 1.15|G: 2.79|Recon: 1.48|Consis: 0.49|Content: 2.07|Style: 9.56|T: 4.46|| M2MM: 0.00|MM2M: 0.00| experiment_name
[78/100] D: 1.01|G: 1.25|Recon: 1.43|Consis: 0.57|Content: 2.77|Style: 8.13|T: 4.75|| M2MM: 0.00|MM2M: 0.00| experiment_name
[79/100] D: 1.20|G: 2.88|Recon: 1.52|Consis: 0.54|Content: 3.91|Style: 10.72|T: 3.94|| M2MM: 0.00|MM2M: 0.00| experiment_name
[80/100] D: 1.00|G: 2.20|Recon: 1.39|Consis: 0.60|Content: 3.77|Style: 9.89|T: 3.96|| M2MM: 0.00|MM2M: 0.00| experiment_name
